dst_address_id_group,count,currency
12378,813296,BCH
12556,812248,BCH
12377,806378,BCH
12542,805685,BCH
12479,799618,BCH
12478,797354,BCH
12464,796972,BCH
3297,796917,BCH
12392,796543,BCH
12558,795135,BCH
12470,790613,BCH
12482,788707,BCH
12596,783048,BCH
6086,780469,BCH
12510,779114,BCH
12524,778903,BCH
12409,776792,BCH
12493,773364,BCH
12578,768721,BCH
12559,768086,BCH
12591,767322,BCH
12447,766591,BCH
12390,765848,BCH
12383,764724,BCH
12345,762057,BCH
12401,761214,BCH
12314,755931,BCH
12469,755824,BCH
2368,753382,BCH
12592,751861,BCH
12551,747776,BCH
12597,747716,BCH
12474,745395,BCH
12382,743904,BCH
12476,740160,BCH
12562,739825,BCH
12467,739267,BCH
12475,739057,BCH
12583,730380,BCH
12436,729661,BCH
12336,729057,BCH
12373,728794,BCH
12487,726272,BCH
12424,719553,BCH
12438,717834,BCH
12207,714123,BCH
12420,711262,BCH
12448,710799,BCH
12485,709365,BCH
12451,708913,BCH
12388,708762,BCH
12536,706478,BCH
12593,706255,BCH
12341,703849,BCH
12421,703368,BCH
12391,703351,BCH
12468,701188,BCH
1114,700817,BCH
12472,699685,BCH
12527,696680,BCH
12563,696621,BCH
12580,693491,BCH
12437,689826,BCH
12539,689659,BCH
12526,684310,BCH
12480,678307,BCH
12486,678077,BCH
12589,673909,BCH
12598,673218,BCH
12585,672829,BCH
12512,672795,BCH
12431,671023,BCH
12462,668412,BCH
12600,668331,BCH
12538,666959,BCH
12543,664745,BCH
3979,664483,BCH
12330,662359,BCH
12417,661070,BCH
12473,660466,BCH
12531,659086,BCH
12506,657240,BCH
12465,654500,BCH
12505,654210,BCH
12555,653337,BCH
12425,651264,BCH
12402,650937,BCH
12471,650037,BCH
12579,649096,BCH
12440,648675,BCH
12413,646755,BCH
12477,646240,BCH
12422,644533,BCH
12445,644013,BCH
12507,643556,BCH
12322,637911,BCH
12490,637061,BCH
2796,635182,BCH
12441,634309,BCH
12546,630769,BCH
12570,630621,BCH
12517,628047,BCH
12331,625487,BCH
12573,624682,BCH
12530,624058,BCH
12394,623980,BCH
12545,622714,BCH
12372,620927,BCH
12498,618118,BCH
12601,618014,BCH
12439,617114,BCH
12412,616744,BCH
12446,616304,BCH
12594,615898,BCH
2829,615090,BCH
3075,613141,BCH
12491,612614,BCH
12432,612039,BCH
12566,611681,BCH
4954,610837,BCH
12586,603854,BCH
12379,603139,BCH
12540,602461,BCH
12571,602167,BCH
3182,601107,BCH
12449,600168,BCH
12514,599763,BCH
2295,591546,BCH
12518,591278,BCH
12208,589197,BCH
12406,586823,BCH
12513,584854,BCH
12533,584843,BCH
12481,583263,BCH
12602,582716,BCH
1279,581755,BCH
12408,580852,BCH
12315,575260,BCH
3336,575224,BCH
12605,574199,BCH
12405,572330,BCH
12599,570669,BCH
494,568284,BCH
12435,567995,BCH
12398,566649,BCH
12541,566090,BCH
3,4208140,LTC
435,1738711,LTC
0,730257,LTC
5,715860,LTC
2671,615465,LTC
2,580917,LTC
223,577748,LTC
327,512378,LTC
1,474947,LTC
329,459913,LTC
1956,447460,LTC
187,435214,LTC
711,419189,LTC
2488,418608,LTC
2669,410637,LTC
761,404075,LTC
328,402515,LTC
2677,378926,LTC
364,375681,LTC
1395,367461,LTC
2161,355505,LTC
2670,332894,LTC
356,332798,LTC
362,331606,LTC
792,327856,LTC
359,324343,LTC
2668,322234,LTC
318,317885,LTC
1392,308813,LTC
2651,303408,LTC
1797,297014,LTC
326,296590,LTC
273,293765,LTC
2655,289048,LTC
2630,287478,LTC
2667,286730,LTC
2613,285415,LTC
2615,284565,LTC
2617,283957,LTC
2675,282629,LTC
1301,281633,LTC
1110,280998,LTC
784,280803,LTC
2627,278899,LTC
2660,278601,LTC
2676,276430,LTC
631,274304,LTC
1964,274241,LTC
279,273947,LTC
2616,272600,LTC
510,272158,LTC
196,272084,LTC
2624,271995,LTC
2643,271593,LTC
307,270917,LTC
2611,267060,LTC
148,266672,LTC
650,264976,LTC
357,264374,LTC
368,261162,LTC
626,260571,LTC
305,258344,LTC
339,257545,LTC
367,257413,LTC
643,256849,LTC
2619,252931,LTC
1137,252407,LTC
361,251096,LTC
284,250546,LTC
295,250281,LTC
2638,249387,LTC
338,249040,LTC
547,247305,LTC
979,247167,LTC
2622,246255,LTC
2626,246229,LTC
345,245691,LTC
332,245528,LTC
330,245417,LTC
2612,244712,LTC
2623,243728,LTC
2620,243451,LTC
639,241217,LTC
2096,240498,LTC
2641,238041,LTC
2634,236864,LTC
2629,236114,LTC
366,235561,LTC
2644,234257,LTC
272,234137,LTC
2640,233855,LTC
2160,233275,LTC
2657,233261,LTC
634,232998,LTC
2652,232868,LTC
2633,232577,LTC
622,232009,LTC
2344,230671,LTC
2649,230453,LTC
2642,229566,LTC
353,228052,LTC
222,227996,LTC
304,227899,LTC
2645,227417,LTC
1017,225777,LTC
355,225504,LTC
1833,225327,LTC
1393,225209,LTC
1963,225143,LTC
2646,224873,LTC
2648,224186,LTC
2603,223364,LTC
621,222729,LTC
365,222507,LTC
1114,222338,LTC
793,222187,LTC
2625,222166,LTC
2658,221860,LTC
618,221474,LTC
363,221460,LTC
384,221277,LTC
